dataset,name,h1_rmse,h1_skill,vpt,fsdh
GSOD,ESN500_rad0.5_leak0.3_inp0.1_ridge0.0001,5.582872420834051,-8.136323219045781,0,0
GSOD,ESN500_rad0.5_leak0.3_inp0.1_ridge1.0,1.5835240688919712,-1.5914236665243706,1,0
GSOD,ESN500_rad0.5_leak0.3_inp1.0_ridge0.0001,2.1594209124692547,-2.5338739514557,1,0
GSOD,ESN500_rad0.5_leak0.3_inp1.0_ridge1.0,2.157413556661457,-2.530588930754308,1,0
GSOD,ESN500_rad0.5_leak1.0_inp0.1_ridge0.0001,2.03561212890877,-2.331261930492398,1,0
GSOD,ESN500_rad0.5_leak1.0_inp0.1_ridge1.0,0.6590513540065045,-0.07853193379146517,2,0
GSOD,ESN500_rad0.5_leak1.0_inp1.0_ridge0.0001,1.9529950013117847,-2.1960597040653003,1,0
GSOD,ESN500_rad0.5_leak1.0_inp1.0_ridge1.0,1.955862875413364,-2.200752955633396,1,0
GSOD,ESN500_rad0.9_leak0.3_inp0.1_ridge0.0001,4.098429310736563,-5.707044698633152,0,0
GSOD,ESN500_rad0.9_leak0.3_inp0.1_ridge1.0,1.3968016626458386,-1.2858540372889995,1,0
GSOD,ESN500_rad0.9_leak0.3_inp1.0_ridge0.0001,2.209215026291514,-2.615361595090256,1,0
GSOD,ESN500_rad0.9_leak0.3_inp1.0_ridge1.0,2.201144150835592,-2.6021536760715813,1,0
GSOD,ESN500_rad0.9_leak1.0_inp0.1_ridge0.0001,1.0770122347215467,-0.7625213591774713,1,0
GSOD,ESN500_rad0.9_leak1.0_inp0.1_ridge1.0,0.7386529395744206,-0.20879925134345068,2,0
GSOD,ESN500_rad0.9_leak1.0_inp1.0_ridge0.0001,2.0092587908583726,-2.288134916980375,1,0
GSOD,ESN500_rad0.9_leak1.0_inp1.0_ridge1.0,2.01082105078833,-2.290691542064443,1,0
GSOD,ESN500_rad1.5_leak0.3_inp0.1_ridge0.0001,1.3410027811253487,-1.1945396424033152,1,0
GSOD,ESN500_rad1.5_leak0.3_inp0.1_ridge1.0,1.3343621645684023,-1.183672329904538,1,0
GSOD,ESN500_rad1.5_leak0.3_inp1.0_ridge0.0001,2.109358479214074,-2.4519472053519613,1,0
GSOD,ESN500_rad1.5_leak0.3_inp1.0_ridge1.0,2.1075625543928447,-2.449008189661288,1,0
GSOD,ESN500_rad1.5_leak1.0_inp0.1_ridge0.0001,1.2559428299912616,-1.0553397560406679,1,0
GSOD,ESN500_rad1.5_leak1.0_inp0.1_ridge1.0,1.2564138697493454,-1.0561106085972862,1,0
GSOD,ESN500_rad1.5_leak1.0_inp1.0_ridge0.0001,2.0781827401821684,-2.4009283736614533,1,0
GSOD,ESN500_rad1.5_leak1.0_inp1.0_ridge1.0,2.0787562651055187,-2.4018669423191126,1,0
Lorenz63,ESN500_rad0.5_leak0.3_inp0.1_ridge0.0001,0.8813666480315288,-1.0783515245159374,1,0
Lorenz63,ESN500_rad0.5_leak0.3_inp0.1_ridge1.0,0.8681889246444384,-1.0472771225603181,2,2
Lorenz63,ESN500_rad0.5_leak0.3_inp1.0_ridge0.0001,0.5380383372240406,-0.2687487107835318,2,2
Lorenz63,ESN500_rad0.5_leak0.3_inp1.0_ridge1.0,0.6391097881908131,-0.5070853946948055,2,2
Lorenz63,ESN500_rad0.5_leak1.0_inp0.1_ridge0.0001,0.16348653154638587,0.614482255669494,2,2
Lorenz63,ESN500_rad0.5_leak1.0_inp0.1_ridge1.0,0.07768939307230718,0.8168005688765619,2,2
Lorenz63,ESN500_rad0.5_leak1.0_inp1.0_ridge0.0001,0.17469428262582495,0.5880532472717153,2,2
Lorenz63,ESN500_rad0.5_leak1.0_inp1.0_ridge1.0,0.1608504999863461,0.6206982841789876,2,2
Lorenz63,ESN500_rad0.9_leak0.3_inp0.1_ridge0.0001,1.4008751173685687,-2.3034049363475066,1,0
Lorenz63,ESN500_rad0.9_leak0.3_inp0.1_ridge1.0,1.306521453450537,-2.080909472415803,1,0
Lorenz63,ESN500_rad0.9_leak0.3_inp1.0_ridge0.0001,0.5629679935398025,-0.32753535686917834,2,2
Lorenz63,ESN500_rad0.9_leak0.3_inp1.0_ridge1.0,0.6342486012735077,-0.4956222252373459,2,2
Lorenz63,ESN500_rad0.9_leak1.0_inp0.1_ridge0.0001,0.26718697664694496,0.3699461382102157,2,2
Lorenz63,ESN500_rad0.9_leak1.0_inp0.1_ridge1.0,0.18389543087297577,0.5663560109064938,2,2
Lorenz63,ESN500_rad0.9_leak1.0_inp1.0_ridge0.0001,0.2626884921980596,0.3805540186345924,2,2
Lorenz63,ESN500_rad0.9_leak1.0_inp1.0_ridge1.0,0.21678978335569996,0.4887878072728242,2,2
Lorenz63,ESN500_rad1.5_leak0.3_inp0.1_ridge0.0001,1.070159906462415,-1.5235450853960941,1,0
Lorenz63,ESN500_rad1.5_leak0.3_inp0.1_ridge1.0,1.1295253467489783,-1.663534786162176,2,0
Lorenz63,ESN500_rad1.5_leak0.3_inp1.0_ridge0.0001,1.0561415211596703,-1.4904883177837926,1,0
Lorenz63,ESN500_rad1.5_leak0.3_inp1.0_ridge1.0,0.7225412457120151,-0.7038251934142754,2,2
Lorenz63,ESN500_rad1.5_leak1.0_inp0.1_ridge0.0001,1.003697559617623,-1.3668201625773224,2,2
Lorenz63,ESN500_rad1.5_leak1.0_inp0.1_ridge1.0,0.9914135610014517,-1.3378532538474635,2,2
Lorenz63,ESN500_rad1.5_leak1.0_inp1.0_ridge0.0001,0.3140002162920136,0.2595557936230244,2,2
Lorenz63,ESN500_rad1.5_leak1.0_inp1.0_ridge1.0,0.20934543231602376,0.5063423384851164,2,2
