Model,VPT,FSDH,TrainingTime_s,h=1_RMSE,h=1_MAE,h=1_NRMSE,h=1_Skill,h=6_RMSE,h=6_MAE,h=6_NRMSE,h=6_Skill
Persistence,2,0,0.0,0.611063,0.482664,0.077705,0.0,2.147154,1.66808,0.265804,0.0
SeasonalNaive,0,0,0.0,5.299807,3.379464,0.673944,-7.673088,5.322563,3.416667,0.658899,-1.478892
"ARIMA(2,1,2)",0,0,24.04,7.959439,4.966231,1.012153,-12.025555,8.206491,5.179915,1.015912,-2.822032
ExpSmoothing,0,0,0.12,8.65263,4.709226,1.100302,-13.159956,8.942569,4.936012,1.107033,-3.164848
HoltWinters,0,0,11.96,8.651499,4.708772,1.100158,-13.158104,8.941381,4.935521,1.106886,-3.164295
Theta,0,0,1.05,8.65483,4.710005,1.100582,-13.163555,8.944866,4.936867,1.107318,-3.165917
LinearRegression,2,1,0.06,0.592561,0.467736,0.075352,0.030279,2.317065,1.737511,0.286838,-0.079133
Ridge(alpha=1),2,1,0.03,0.59265,0.467833,0.075364,0.030134,2.3173,1.737605,0.286867,-0.079243
Lasso(alpha=0.01),2,0,1.45,0.645378,0.507493,0.082069,-0.056155,2.415446,1.809737,0.299017,-0.124953
ElasticNet(alpha=0.01),2,0,2.57,0.643257,0.5063,0.081799,-0.052684,2.39856,1.790491,0.296927,-0.117088
RandomForest,2,0,93.03,0.741756,0.555895,0.094325,-0.213878,2.189825,1.656578,0.271086,-0.019874
XGBoost,2,0,1.08,1.252586,0.790453,0.159284,-1.049847,2.644853,1.948401,0.327416,-0.231795
SVR,2,0,87.86,1.364034,0.797204,0.173456,-1.23223,2.504013,1.871482,0.309981,-0.166201
KNN,2,0,2.54,1.394815,0.951042,0.17737,-1.282603,3.017458,2.08939,0.373542,-0.405329
LSTM,0,0,68.7,7.912426,5.116881,1.006175,-11.948617,8.152806,5.335499,1.009266,-2.797029
GRU,0,0,58.46,7.798768,4.980008,0.991722,-11.762617,8.032672,5.185664,0.994394,-2.741079
CNN,0,0,69.82,8.002278,4.914565,1.017601,-12.09566,8.254389,5.132503,1.021841,-2.84434
Transformer,0,0,176.39,8.395441,4.63774,1.067597,-12.739068,8.678438,4.869998,1.074336,-3.041833
NBeats,0,0,265.8,7.996581,4.915405,1.016876,-12.086337,8.246635,5.126997,1.020881,-2.840729
ESN500,0,0,3.7,9.211603,5.17568,1.171383,-14.074711,9.532743,5.418983,1.180093,-3.439711
ESN1000,0,0,13.9,8.623017,5.727401,1.096536,-13.111494,8.822018,5.912203,1.09211,-3.108703
L63_Persistence,1,0,,0.112787,0.091986,0.117474,0.0,0.628957,0.521562,0.638959,0.0
L63_Ridge,2,2,,0.036213,0.028283,0.037717,0.678931,0.359215,0.283256,0.364928,0.428872
L63_RandomForest,2,2,,0.037514,0.028067,0.039073,0.667394,0.177587,0.102878,0.180411,0.717649
L63_LSTM64,0,0,,1.031227,0.64211,1.074077,-8.143098,1.054433,0.663473,1.071202,-0.676479
L63_ESN500,0,0,,1.36895,1.145429,1.425834,-11.137429,1.376982,1.154088,1.39888,-1.189309
